Green,Count,Min,Max,Mean,Mean2
126,41,126,142,133.46341463414635,17829.414634146342
127,38,128,143,134.8684210526316,18202.763157894737
128,33,130,144,136.0909090909091,18536.333333333332
129,34,129,145,136.76470588235293,18722.176470588234
130,32,130,145,137.4375,18905.8125
131,22,133,147,140.1818181818182,19666.454545454544
132,20,132,149,142.3,20269.4
133,15,140,148,143.8,20684.066666666666
134,18,141,150,145.61111111111111,21209.277777777777
135,17,142,150,146.41176470588235,21441.823529411766
136,17,144,153,147.23529411764707,21683.58823529412
137,16,145,151,148.375,22019.0
138,16,146,154,149.6875,22411.9375
139,12,148,154,150.33333333333334,22604.166666666668
140,9,149,154,151.33333333333334,22904.88888888889
141,8,150,156,152.625,23298.125
142,7,151,156,153.42857142857142,23542.571428571428
143,5,153,157,154.8,23964.8
144,2,155,157,156.0,24337.0
145,0,0,0,0.0,0.0
146,1,158,158,158.0,24964.0
147,0,0,0,0.0,0.0
148,0,0,0,0.0,0.0
149,0,0,0,0.0,0.0
150,0,0,0,0.0,0.0
151,0,0,0,0.0,0.0
152,0,0,0,0.0,0.0
153,0,0,0,0.0,0.0
154,0,0,0,0.0,0.0
155,0,0,0,0.0,0.0
156,0,0,0,0.0,0.0
157,0,0,0,0.0,0.0
158,0,0,0,0.0,0.0
159,0,0,0,0.0,0.0
160,0,0,0,0.0,0.0
161,0,0,0,0.0,0.0
162,0,0,0,0.0,0.0
163,0,0,0,0.0,0.0
164,0,0,0,0.0,0.0
165,0,0,0,0.0,0.0
166,0,0,0,0.0,0.0
167,0,0,0,0.0,0.0
168,0,0,0,0.0,0.0
169,0,0,0,0.0,0.0
170,0,0,0,0.0,0.0
171,0,0,0,0.0,0.0
172,0,0,0,0.0,0.0
173,0,0,0,0.0,0.0
174,0,0,0,0.0,0.0
175,0,0,0,0.0,0.0
176,0,0,0,0.0,0.0
177,0,0,0,0.0,0.0
178,0,0,0,0.0,0.0
179,0,0,0,0.0,0.0
180,0,0,0,0.0,0.0
181,0,0,0,0.0,0.0
182,0,0,0,0.0,0.0
183,0,0,0,0.0,0.0
184,0,0,0,0.0,0.0
185,0,0,0,0.0,0.0
186,0,0,0,0.0,0.0
187,0,0,0,0.0,0.0
188,0,0,0,0.0,0.0
189,0,0,0,0.0,0.0
190,0,0,0,0.0,0.0
191,0,0,0,0.0,0.0
192,0,0,0,0.0,0.0
193,0,0,0,0.0,0.0
194,0,0,0,0.0,0.0
195,0,0,0,0.0,0.0
196,0,0,0,0.0,0.0
197,0,0,0,0.0,0.0
198,0,0,0,0.0,0.0
199,0,0,0,0.0,0.0
200,0,0,0,0.0,0.0
201,0,0,0,0.0,0.0
202,0,0,0,0.0,0.0
203,0,0,0,0.0,0.0
204,0,0,0,0.0,0.0
205,0,0,0,0.0,0.0
206,0,0,0,0.0,0.0
207,0,0,0,0.0,0.0
208,0,0,0,0.0,0.0
209,0,0,0,0.0,0.0
